UnitId,Types of aid,Type,Category,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
231077,College of St Joseph,Loans,Number receiving,54,35,19,34,33,42,35,27,42,42,46,39,19,29,80,32
231077,College of St Joseph,-,Average amount,2789,3002,2280,2162,2516,2465,2625,6219,8169,6043,6006,5851,6269,7044,6652,7731
231086,Southern Vermont College,First-time full-time undergraduates,Total,69,94,89,95,93,71,101,92,131,105,107,147,163,94,90,104
231086,Southern Vermont College,Any aid,Number receiving,67,85,72,79,83,62,84,79,127,105,105,147,162,93,90,104
231086,Southern Vermont College,Federal grants,Number receiving,29,44,40,38,33,22,38,34,50,48,54,92,119,48,51,42
231086,Southern Vermont College,-,Average amount,3390,3758,3859,3529,4007,3680,4751,3356,4039,4716,3881,4355,3035,4983,5901,4384
231086,Southern Vermont College,State/Local grants,Number receiving,24,22,20,34,18,28,23,29,37,24,37,83,28,11,31,37
231086,Southern Vermont College,-,Average amount,2146,2410,2777,2828,2783,2496,3350,4452,4607,3958,3300,2657,1840,2139,5053,3501
231086,Southern Vermont College,Institutional grants,Number receiving,61,76,50,66,73,57,80,79,113,97,105,134,161,91,90,103
231086,Southern Vermont College,-,Average amount,6365,5899,6462,5408,6217,5319,7218,6680,7075,6551,7300,8400,8764,9144,11077,9680
231086,Southern Vermont College,Loans,Number receiving,59,79,64,71,70,62,84,71,126,97,105,133,138,82,78,86
231086,Southern Vermont College,-,Average amount,3384,2829,3511,2733,3149,4823,3140,6598,7412,6901,6345,7185,8130,8624,8145,11152
231095,Sterling College,First-time full-time undergraduates,Total,28,25,22,22,18,17,21,30,27,26,16,20,16,17,21,25
231095,Sterling College,Any aid,Number receiving,28,25,22,22,18,14,21,30,27,26,15,20,16,17,21,24
231095,Sterling College,Federal grants,Number receiving,8,5,11,12,4,6,21,9,10,26,7,9,10,10,11,11
231095,Sterling College,-,Average amount,2678,4105,2686,2708,3663,3429,2014,3698,4802,3828,6100,3596,4168,4880,4772,4250
231095,Sterling College,State/Local grants,Number receiving,8,3,7,8,4,3,6,10,8,8,4,8,7,6,7,4
231095,Sterling College,-,Average amount,1091,2575,1432,2103,2838,3000,2933,2293,2433,1966,1532,4069,2443,1425,3330,1888
231095,Sterling College,Institutional grants,Number receiving,15,17,17,22,14,14,18,24,25,26,15,20,15,16,21,24
231095,Sterling College,-,Average amount,5020,3085,5753,5911,6239,6127,8583,9502,11332,11543,13723,10625,18625,19772,20370,19654
231095,Sterling College,Loans,Number receiving,20,14,14,16,14,12,16,17,18,20,12,12,12,9,13,21
231095,Sterling College,-,Average amount,2959,3152,3295,3891,7907,6547,4335,9788,9987,8795,8674,5006,7917,8789,8281,5981
231147,Vermont Law School,First-time full-time undergraduates,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
231147,Vermont Law School,Any aid,Number receiving,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231147,Vermont Law School,Federal grants,Number receiving,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231147,Vermont Law School,-,Average amount,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231147,Vermont Law School,State/Local grants,Number receiving,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231147,Vermont Law School,-,Average amount,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231147,Vermont Law School,Institutional grants,Number receiving,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231147,Vermont Law School,-,Average amount,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231147,Vermont Law School,Loans,Number receiving,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231147,Vermont Law School,-,Average amount,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231156,Vermont State Colleges-Office of the Chancellor,First-time full-time undergraduates,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231156,Vermont State Colleges-Office of the Chancellor,Any aid,Number receiving,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231156,Vermont State Colleges-Office of the Chancellor,Federal grants,Number receiving,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231156,Vermont State Colleges-Office of the Chancellor,-,Average amount,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231156,Vermont State Colleges-Office of the Chancellor,State/Local grants,Number receiving,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231156,Vermont State Colleges-Office of the Chancellor,-,Average amount,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231156,Vermont State Colleges-Office of the Chancellor,Institutional grants,Number receiving,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
