UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
404426,"R",103,"R",5706118,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",392219,"R",23,"R",2083817,"R",14,"R",764278,"R",14,"R",785067,"R",4,"R",177245,"Z",0,"Z",0,"R",8,"R",335666,"Z",0,"Z",0,"R",32,"R",1167826,"Z",0,"Z",0,"Z",0,"Z",0
404480,"R",239,"R",18594879,"R",53,"R",5693913,"Z",0,"Z",0,"R",5,"R",432064,"R",21,"R",3315461,"R",40,"R",2525745,"R",91,"R",5206127,"R",4,"R",294336,"R",1,"R",71662,"R",7,"R",239633,"R",1,"R",42000,"R",3,"R",135889,"R",11,"R",489669,"R",2,"R",148380
404806,"R",19,"R",428255,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",121160,"R",3,"R",95520,"R",1,"R",18900,"R",1,"R",20779,"R",6,"R",123572,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",16644,"R",2,"R",31680,"Z",0,"Z",0
404912,"R",21,"R",1109061,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",239062,"R",3,"R",285361,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",584638,"Z",0,"Z",0,"Z",0,"Z",0
404994,"R",278,"R",15095700,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",280000,"R",57,"R",5900000,"R",122,"R",5000000,"R",9,"R",460000,"R",30,"R",1500000,"Z",0,"Z",0,"R",12,"R",240800,"R",2,"R",64000,"R",25,"R",1160500,"R",9,"R",380200,"R",3,"R",110200
405058,"R",11,"R",348000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",40000,"R",1,"R",43000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",205000,"Z",0,"Z",0,"R",3,"R",60000,"Z",0,"Z",0,"Z",0,"Z",0
405854,"R",3,"R",107000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",43500,"R",1,"R",35000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",28500,"Z",0,"Z",0,"Z",0,"Z",0
405872,"R",183,"R",9564830,"Z",0,"Z",0,"Z",0,"Z",0,"R",38,"R",2175408,"R",21,"R",2171230,"R",9,"R",499108,"R",16,"R",971615,"R",7,"R",392787,"R",1,"R",80926,"R",24,"R",726702,"Z",0,"Z",0,"R",67,"R",2547054,"Z",0,"Z",0,"Z",0,"Z",0
405997,"R",14,"R",940405,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",608547,"R",1,"R",67411,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",264447,"Z",0,"Z",0,"Z",0,"Z",0
406024,"R",40,"R",2079400,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",226892,"R",10,"R",808659,"Z",0,"Z",0,"R",2,"R",86000,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",30160,"Z",0,"Z",0,"R",22,"R",927689,"Z",0,"Z",0,"Z",0,"Z",0
