UNITID,CONTRACT,ARANK,XTENUREM,TENUREM,XONTRCKM,ONTRCKM,XNOTRCKM,NOTRCKM,XNOFACTM,NOFACTM,XTENUREW,TENUREW,XONTRCKW,ONTRCKW,XNOTRCKW,NOTRCKW,XNOFACTW,NOFACTW,XEMPCNTT,EMPCNTT 
104151,2,1,"R",34,"Z",0,"R",5,"Z",0,"R",19,"Z",0,"R",8,"Z",0,"R",66
104151,2,2,"R",14,"Z",0,"R",6,"Z",0,"R",8,"Z",0,"R",16,"Z",0,"R",44
104151,2,3,"Z",0,"R",1,"R",7,"Z",0,"Z",0,"Z",0,"R",18,"Z",0,"R",26
104151,2,4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"R",4
104151,2,5,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",10,"Z",0,"R",15
104151,2,6,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",8
104151,2,7,"R",48,"R",1,"R",28,"Z",0,"R",27,"Z",0,"R",59,"Z",0,"R",163
104179,1,1,"R",402,"R",2,"R",3,"Z",0,"R",130,"R",1,"R",1,"Z",0,"R",539
104179,1,2,"R",208,"R",17,"R",6,"Z",0,"R",137,"R",5,"R",10,"Z",0,"R",383
104179,1,3,"Z",0,"R",128,"R",18,"Z",0,"Z",0,"R",106,"R",21,"Z",0,"R",273
104179,1,4,"Z",0,"Z",0,"R",26,"Z",0,"Z",0,"Z",0,"R",25,"Z",0,"R",51
104179,1,5,"Z",0,"Z",0,"R",60,"Z",0,"Z",0,"Z",0,"R",70,"Z",0,"R",130
104179,1,6,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",7
104179,1,7,"R",610,"R",147,"R",115,"Z",0,"R",267,"R",112,"R",132,"Z",0,"R",1383
104179,2,1,"R",53,"Z",0,"R",3,"Z",0,"R",20,"Z",0,"R",3,"Z",0,"R",79
104179,2,2,"R",19,"R",2,"R",1,"Z",0,"R",5,"R",4,"R",1,"Z",0,"R",32
104179,2,3,"Z",0,"R",7,"R",7,"Z",0,"Z",0,"R",9,"R",6,"Z",0,"R",29
104179,2,5,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",7
104179,2,7,"R",72,"R",9,"R",17,"Z",0,"R",25,"R",13,"R",11,"Z",0,"R",147
104188,1,4,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"R",2
104188,1,7,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"R",2
104188,2,4,"Z",0,"Z",0,"Z",0,"R",10,"Z",0,"Z",0,"Z",0,"R",4,"R",14
104188,2,7,"Z",0,"Z",0,"Z",0,"R",10,"Z",0,"Z",0,"Z",0,"R",4,"R",14
104364,2,4,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",7,"Z",0,"R",12
104364,2,7,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",7,"Z",0,"R",12
104531,2,1,"Z",0,"Z",0,"R",19,"Z",0,"Z",0,"Z",0,"R",7,"Z",0,"R",26
104531,2,2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
104531,2,3,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",7
104531,2,7,"Z",0,"Z",0,"R",21,"Z",0,"Z",0,"Z",0,"R",13,"Z",0,"R",34
104586,1,1,"R",7,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",8
104586,1,2,"R",11,"R",7,"R",3,"Z",0,"R",3,"R",2,"R",1,"Z",0,"R",27
104586,1,3,"Z",0,"R",15,"R",13,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",32
104586,1,4,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",3
104586,1,7,"R",18,"R",22,"R",17,"Z",0,"R",4,"R",4,"R",5,"Z",0,"R",70
104665,2,1,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",5
104665,2,7,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",5
104717,1,1,"R",3,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",5
104717,1,2,"R",2,"Z",0,"R",3,"Z",0,"R",3,"Z",0,"R",1,"Z",0,"R",9
104717,1,3,"Z",0,"Z",0,"R",11,"Z",0,"R",1,"Z",0,"R",24,"Z",0,"R",36
104717,1,4,"Z",0,"Z",0,"R",8,"Z",0,"R",1,"Z",0,"R",5,"Z",0,"R",14
104717,1,6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
104717,1,7,"R",5,"Z",0,"R",23,"Z",0,"R",5,"Z",0,"R",33,"Z",0,"R",66
104717,2,1,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3
104717,2,2,"R",1,"Z",0,"R",2,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",5
104717,2,3,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",11,"Z",0,"R",14
104717,2,4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
104717,2,6,"Z",0,"Z",0,"R",46,"R",5,"Z",0,"Z",0,"R",45,"R",1,"R",97
104717,2,7,"R",4,"Z",0,"R",51,"R",5,"R",1,"Z",0,"R",58,"R",1,"R",120
104805,2,4,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",9,"Z",0,"R",10
104805,2,7,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",9,"Z",0,"R",10
105163,2,4,"Z",0,"Z",0,"R",8,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",9
105163,2,7,"Z",0,"Z",0,"R",8,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",9
